1uM,,250nM,,500nM,,750nM,,100nM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
629,0.0139490945085672,629,-0.0142810063774447,629,0.011772488273193,629,-0.0112974629540143,629,0.0169693104168456
628,0.0138877247085123,628,-0.0142663276514265,628,0.0116930229299722,628,-0.0112628579928531,628,0.0169574669054979
627,0.0138420237404336,627,-0.01424217931622,627,0.0117010539072423,627,-0.0112600834232131,627,0.0168216126334849
626,0.0137347389035595,626,-0.014328846563051,626,0.0116167094641521,626,-0.0112820272624337,626,0.0167940594231224
625,0.0136006367295227,625,-0.0142414277904685,625,0.0117193236040926,625,-0.0113548627712933,625,0.0168029117776553
624,0.0136292434996542,624,-0.0142424298245148,624,0.011743365249655,624,-0.0113516852996282,624,0.0168704808293701
623,0.0139548416891501,623,-0.0141259779913435,623,0.0120117433263925,623,-0.0110868142711273,623,0.017177270492511
622,0.0137707558636657,622,-0.0143373119738209,622,0.0118059223163132,622,-0.0113402361216252,622,0.017139031106502
621,0.0138929899827848,621,-0.0141534401872128,621,0.0118274948908456,621,-0.0112027719840363,621,0.0170050582460752
620,0.0137265633627077,620,-0.0144427400991309,620,0.0117717435505431,620,-0.0113218764572263,620,0.0170401359718063
619,0.0137667746136718,619,-0.014131741187371,619,0.0118579270769203,619,-0.0109903106220354,619,0.0170792282259654
618,0.0136919125337094,618,-0.014251097322524,618,0.0117518492896209,618,-0.0112674990515365,618,0.0169877223349046
617,0.0137904756131244,617,-0.0141629613460686,617,0.0117866648443119,617,-0.0111557467393697,617,0.0170568816718956
616,0.0138378013205806,616,-0.014212969058313,616,0.0117950965329024,616,-0.0112629084394098,616,0.0169787585404507
615,0.0138753502289182,615,-0.0141555448824045,615,0.0118066670975748,615,-0.0111490356401323,615,0.0170407551743004
614,0.0138265773661419,614,-0.0142311568081927,614,0.0117962402761401,614,-0.0111388426444247,614,0.0171435550272708
613,0.0138237446996734,613,-0.0142226392240136,613,0.0117521684416943,613,-0.0112820272624337,613,0.017016795373821
612,0.0138859607222702,612,-0.0141670704133039,612,0.0118405293947809,612,-0.0111757785015303,612,0.017179209480647
611,0.0141067552140699,611,-0.0139011536717572,611,0.012035641485289,611,-0.0110548170064923,611,0.0172634022304626
610,0.0139397922565196,610,-0.0140503978736123,610,0.0119016371729621,610,-0.0110922646742787,610,0.0171713189302155
609,0.013753147792624,609,-0.0141740356945667,609,0.011687864036159,609,-0.0111742647986264,609,0.0169477231678736
608,0.0138784237708515,608,-0.0139619203495558,608,0.0118469403861591,608,-0.0111237545532165,608,0.0171047262409223
607,0.0139008746499217,607,-0.0141116448417782,607,0.0118439609925029,607,-0.011231075497392,607,0.0171077150186264
606,0.0141229068376625,606,-0.0139097277033757,606,0.0119551168590656,606,-0.0110304389592831,606,0.0171808522412585
605,0.0138817646019721,605,-0.0139436711845138,605,0.0118316446088347,605,-0.0110533028819261,605,0.0170995834373435
604,0.0137462276687733,604,-0.0138751798411457,604,0.0117763448930603,604,-0.0108675302175541,604,0.0170538393986415
603,0.013976708401604,603,-0.0138689117922129,603,0.0118925116952266,603,-0.0109120623200217,603,0.0171714266500753
602,0.0138433866821883,602,-0.014030147385142,602,0.0118367254072891,602,-0.0109687054030794,602,0.0171366075969033
601,0.0138422108106172,601,-0.0140209742046254,601,0.0118660409131701,601,-0.0110483062334039,601,0.0172326158484006
600,0.0139549753454175,600,-0.0139713955751155,600,0.0118896916155271,600,-0.0110045452490317,600,0.0172369252718309
599,0.0141636361980562,599,-0.0138050728294687,599,0.012136677632661,599,-0.0108326889944904,599,0.0173337908456657
598,0.0140862189177385,598,-0.0138704662767839,598,0.0120018171948228,598,-0.0108781840045411,598,0.0173438934774713
597,0.0137824326261554,597,-0.0139706435806393,597,0.0117339239580175,597,-0.0109854646851174,597,0.0170876825233207
596,0.013751972165353,596,-0.0139848811216712,596,0.0117189778821709,596,-0.0109750659296396,596,0.0171088459128512
595,0.0138979345878118,595,-0.0140131542911976,595,0.0118156311722416,595,-0.0110224135884533,595,0.0172152708515211
594,0.0138017520782252,594,-0.0139774114840503,594,0.0118480044602756,594,-0.0109543181541046,594,0.0171789401762215
593,0.0138987364209588,593,-0.0139024071957165,593,0.0119119334961422,593,-0.0109484116717909,593,0.0172095342270479
592,0.0139853698488521,592,-0.0139434706399789,592,0.0119203676171579,592,-0.0108815164150576,592,0.0173068247046949
591,0.0139570336571285,591,-0.0139330923338964,591,0.0120045847797434,591,-0.0109087806315894,591,0.0172603315746913
590,0.0139005539149061,590,-0.013807730883953,590,0.0118890265050591,590,-0.010862884882639,590,0.0172083222738265
589,0.01389705257306,589,-0.013937755081804,589,0.0119187180285538,589,-0.0109244820240378,589,0.0171914360774582
588,0.0139133300428981,588,-0.013913989585935,588,0.0119732641992528,588,-0.0109325596896858,588,0.0171706995415401
587,0.0139550555391976,587,-0.0138319535364928,587,0.0120896433932808,587,-0.0108894938999943,587,0.0173064475677426
586,0.014001757565779,586,-0.0138204191085386,586,0.0120488153088532,586,-0.0107800683999111,586,0.0172353631008964
585,0.0141766607719809,585,-0.0136736042132401,585,0.012200595932079,585,-0.0106975391954464,585,0.0173292380030848
584,0.0141473493441503,584,-0.013664172656716,584,0.0121097128418221,584,-0.0106326260796336,584,0.0172539479124408
583,0.0140851226063064,583,-0.0135451569089527,583,0.0120875406798017,583,-0.0107002668493719,583,0.0172739611423085
582,0.0141636896862674,582,-0.0136407433826002,582,0.0121418951004084,582,-0.0107849166292075,582,0.0172853284210883
581,0.0142195884676589,581,-0.0136112919452807,581,0.0121137854027966,581,-0.0107508768753756,581,0.0172079182901709
580,0.0141525642801575,580,-0.0135929778638639,580,0.0121631649160019,580,-0.0107790583453286,580,0.0171941830694712
579,0.0143365177471631,579,-0.0134755486904625,579,0.0124060447572043,579,-0.0106169646533925,579,0.0173830130846242
578,0.014216298531502,578,-0.0136052207874264,578,0.0122403199982191,578,-0.0108086519707052,578,0.0171163045032817
577,0.0144148092086169,577,-0.0133612003792496,577,0.0123590612374215,577,-0.0106211074081753,577,0.0172942446702394
576,0.0143817356323164,576,-0.0133340394855311,576,0.0122434618689583,576,-0.0105591640501758,576,0.0172502578213633
575,0.0143525976509202,575,-0.0132655021382546,575,0.0122705148489678,575,-0.0105986249105713,575,0.0171436358119985
574,0.0145733351050628,574,-0.0131079507621137,574,0.0124303641875185,574,-0.0104500090651299,574,0.0171545688171124
573,0.0145642068542323,573,-0.0130105888906917,573,0.0124513018307033,573,-0.0104015374775065,573,0.0171563999877355
572,0.0146556854184258,572,-0.0129987311553209,572,0.0124932067870067,572,-0.0103325862949491,572,0.0172162942948384
571,0.0147701075946417,571,-0.0129176276245233,571,0.0125313057108797,571,-0.0103817732650818,571,0.0172461637424061
570,0.0148028090090687,570,-0.0128846090239852,570,0.0125931236631053,570,-0.0103365295462548,570,0.0173065283827763
569,0.0150750681923713,569,-0.0126166986870695,569,0.0129125855559255,569,-0.0103030613270401,569,0.0173674671989823
568,0.0152245859414162,568,-0.0123890788538307,568,0.012891332337987,568,-0.0102190255178345,568,0.0174975093724828
567,0.0153963080382211,567,-0.0121841944630489,567,0.0130982020828744,567,-0.010108267575669,567,0.0174457141849049
566,0.0155078940731787,566,-0.0119979985183019,566,0.012974511149591,566,-0.0100301637169352,566,0.0173465875523104
565,0.015560263558681,565,-0.0118225548877608,565,0.0130245487850873,565,-0.00992917443646933,565,0.0174309205438446
564,0.0156766419337204,564,-0.0117535266260545,564,0.0131115148954998,564,-0.010059454310031,564,0.017395407083634
563,0.0160460553138853,563,-0.0112538784124158,563,0.0134507424203179,563,-0.00982603589524662,563,0.0175737042596227
562,0.0160819421252693,562,-0.0110906497471428,562,0.0135323727237845,562,-0.00982016466245929,562,0.0175928965899297
